name,price
Python大数据分析与机器学习商业案例实战,86.10
【自营】C语言+java+python编程入门指南 SQL Server/Visual Studio/Web/JSP/MySQL/javascript/Django/Pygame/Flask,178.80
Python网络爬虫框架Scrapy从入门到精通,64.00
Python游戏趣味编程(异步图书出品),69.00
Python编程从0到1（视频教学版）,56.70
Python函数式编程 第2版,42.68
Python深度学习入门 从零构建CNN和RNN,58.80
Python程序员面试笔试宝典,76.80
Python机器学习中的数学修炼（清华开发者书库.Python）,74.80
Python数据可视化之Matplotlib与Pyecharts,60.40
计算机科学导论——以Python为舟（第3版）（清华科技大讲堂）,69.10
Flask Web开发：基于Python的Web应用开发实战+Python Cookbook中文版,131.00
包邮基于ArcGIS的Python编程秘笈第2版+面向ArcGIS的Python脚本编程 ,89.00
Flask Web开发 基于Python的Web应用开发实战 第2版(图灵出品),51.40
Python数据分析 第2版（影印版）,83.60
教孩子学编程 Python语言版 全彩印刷 少儿编程入门图书青少年Python语言基础入门,42.80
流畅的Python,74.50
看漫画学Python 有趣、有料、好玩、好用(全彩版),44.50
笨办法学Python 3(异步图书出品),43.90
网络爬虫进化论——从Excel爬虫到Python爬虫,79.00
Python编程技术手册 AI开发 机器学习 大数据处理,79.30
Excel x Python智能高效办公,75.20
Python深度学习(图灵出品),119.00
Python数据分析从入门到实践（excel高效办公）（Python3全彩版）  ,85.30
Effective Python：编写高质量Python代码的90个有效方法（原书第2版）,94.60
【新品现货】Python金融实战案例精粹 斯文博士新作 基于Python的金融 斯文 著,83.50
Python科学计算(第2版)（附光盘）,104.20
剑指Offer 名企面试官精讲典型编程题第2版 何海涛 java python c语言程序员面试宝典,48.00
趣味Python编程入门,51.00
Python网络爬虫技术与实战,76.80
笨办法学Python 3：基础篇+进阶篇（套装2册）,82.50
Scratch轻松学：从Scratch到Python轻松学+从Scratch到C++轻松学,256.00
python编程 从入门到实践 零基础学python3.5 pathon核心技术网络爬虫书籍,69.00
Python从入门到精通+C语言从入门到精通+java从入门到精通(第5版) 全3册 计算机自学书籍,72.00
机器学习基础—基于Python和scikit-learn的机器学习应用（翻译版）,69.80
自然语言处理入门 Python/Java双代码实现(图灵出品),73.70
Python编程与3D物理学仿真（视频版）,89.90
正版Python 3网络爬虫开发实战 Scrapy数据分析处理手册 数据抓取指南 python编程,69.80
趣学Python算法100例 官方正版 机械工业出版社,69.30
零基础学Python从入门到精通 python基础教程基础核心进阶实战编程书 精通计算机程序设计pathon核心技术网络爬虫书籍 源代码视频,69.80
PYTHON数据结构与算法分析 第2版,56.50
Python Web开发从入门到实践（Python3全彩版）39个实用案例、Fask框架、Django框架、Tornado框架、FastAPI框架,49.00
让工作化繁为简：用Python实现办公自动化,58.50
Python自动化测试实战,47.50
Python编程三剑客：Python编程从入门到实践+快速上手+极客项目编程（套装3册）,135.00
Python金融大数据分析+数据分析基础+数据科学手册+网络爬虫权威指南+语言及其应用+用Py,508.50
Python编程 从入门到实践 人民邮电出版社,58.80
从零开始学Selenium自动化测试（基于Python·视频教学版）,72.60
微软MTA认证98-381Python高分必看——100小时Python从0到1完全学习实战,129.00
"拍拍	
【二手99新】Python编程 从入门到实践",37.71
Python数据科学手册,81.50
Python GUI设计PyQt5从入门到实践 全彩版 python gui pyqt5 gui ,49.00
Python核心编程(第3版),44.55
现货包邮 利用Python进行数据分析（原书第2版）|8050025,79.80
Python爬虫数据分析黄金组合（京东套装共3册）,240.10
Python学习手册 原书第5版2册 华章图书 O'Reilly精品图书系列,155.79
高等数学——基于Python的实现,33.40
教孩子学编程：从Scratch图形化编程到Python语言编程（全彩印刷+视频讲解）（套装共3册）,173.30
Python自动化办公从入门到精通——让Excel、Word、PPT飞起来,51.40
Python编程300例：快速构建可执行高质量代码/清华开发者书库,65.80
OpenCV轻松入门：面向Python(博文视点出品),99.00
【5本】Python编程从入门到实践python3数据分析python语言程序设计计算机编程入门p,299.12
Python网络数据爬取及分析从入门到精通（分析篇）,52.00
Python接口自动化测试(博文视点出品),59.00
Python自动化测试入门与进阶实战,57.90
Python科学计算 第2版,74.50
编程入门三剑客：Python+Java+C语言 全程视频版（套装共3册）,226.20
图解Python--轻松快速掌握实力派脚本语言精华,65.80
从Python开始学编程(博文视点出品),49.00
教孩子学编程：从Scratch图形化编程到Python语言编程（全彩印刷+视频讲解）（套装共3册）,173.30
实用卷积神经网络:运用Python实现深度学习模型,51.10
Python数据可视化：基于Bokeh的可视化绘图,68.20
【自营】HTML+CSS+JavaScript/+C语言+java+python编程入门指南 SQL/Visual/Web/JSP/MySQL/Django/Pygame/Flask,238.40
Python绝技：运用Python成为顶级黑客(博文视点出品),79.00
